########################### min_rats = 5:

k = 384, l_b =  1,    l_f =  0.10, beta = 0.001, results: counter =   5, max_norm_diff =   71.34, valid_rmse = 1.833712, valid_ndcg = 0.006776
k = 384, l_b = 10,    l_f =  0.10, beta = 0.001, results: counter =  22, max_norm_diff =    5.08, valid_rmse = 1.758550, valid_ndcg = 0.010812
k = 384, l_b = 100,   l_f =  0.10, beta = 0.001, results: counter =   5, max_norm_diff =   32.65, valid_rmse = 1.778840, valid_ndcg = 0.011744
k = 384, l_b = 1000,  l_f =  0.10, beta = 0.001, results: counter =   6, max_norm_diff =   26.57, valid_rmse = 1.778971, valid_ndcg = 0.012020
k = 384, l_b = 10000, l_f =  0.10, beta = 0.001, results: counter =   6, max_norm_diff =   26.62, valid_rmse = 1.779608, valid_ndcg = 0.012097

k = 384, l_b =  1,    l_f =  1.00, beta = 0.001, results: counter =   3, max_norm_diff =   60.85, valid_rmse = 1.761299, valid_ndcg = 0.007327
k = 384, l_b = 10,    l_f =  1.00, beta = 0.001, results: counter =   9, max_norm_diff =    8.08, valid_rmse = 1.707598, valid_ndcg = 0.011499
k = 384, l_b = 100,   l_f =  1.00, beta = 0.001, results: counter =   8, max_norm_diff =    8.80, valid_rmse = 1.740100, valid_ndcg = 0.013625
k = 384, l_b = 1000,  l_f =  1.00, beta = 0.001, results: counter =   4, max_norm_diff =   21.59, valid_rmse = 1.763365, valid_ndcg = 0.013722
k = 384, l_b = 10000, l_f =  1.00, beta = 0.001, results: counter =   4, max_norm_diff =   21.71, valid_rmse = 1.764450, valid_ndcg = 0.013798

k = 384, l_b =  1,    l_f = 10.00, beta = 0.001, results: counter =   2, max_norm_diff =  140.40, valid_rmse = 1.698374, valid_ndcg = 0.008376
k = 384, l_b = 10,    l_f = 10.00, beta = 0.001, results: counter =   3, max_norm_diff =   12.61, valid_rmse = 1.625110, valid_ndcg = 0.009595
